epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,168.696,0.8564,0.54027,1.14522,0.99714,0.9403,0.98234,0.62097,1.28041,0.6065,1.58097,0.000614,0.000614,0.000614
44,172.612,0.80129,0.51378,1.14352,0.96664,0.97015,0.97957,0.61282,1.31662,0.60998,1.58577,0.000581,0.000581,0.000581
45,177.067,0.82853,0.51929,1.13622,0.9848,0.96694,0.98571,0.63023,1.26794,0.58637,1.50569,0.000548,0.000548,0.000548
46,181.4,0.80905,0.50211,1.13902,0.99804,0.95522,0.98497,0.68088,1.13024,0.55885,1.44206,0.000515,0.000515,0.000515
47,185.64,0.82035,0.51598,1.15072,0.98195,0.95522,0.98474,0.68397,1.03679,0.52946,1.38929,0.000482,0.000482,0.000482
48,189.641,0.76341,0.4839,1.10711,0.99791,0.95522,0.98262,0.68558,1.08802,0.54514,1.38168,0.000449,0.000449,0.000449
49,193.619,0.732,0.4779,1.08764,0.99566,0.9403,0.98005,0.67333,1.11989,0.56546,1.38895,0.000416,0.000416,0.000416
50,198.064,0.72541,0.46366,1.07157,0.98307,0.95522,0.98384,0.67059,1.12345,0.53041,1.43029,0.000383,0.000383,0.000383
51,234.006,0.69124,0.45295,1.03772,0.98188,0.95522,0.98463,0.63703,1.22571,0.54704,1.56642,0.00035,0.00035,0.00035
52,237.998,0.65551,0.40296,1.03369,0.97058,0.98493,0.98463,0.62833,1.25182,0.54794,1.60221,0.000317,0.000317,0.000317
53,241.761,0.66449,0.37389,1.03474,0.98505,0.98367,0.98615,0.64007,1.17043,0.54145,1.54104,0.000284,0.000284,0.000284
54,245.92,0.6702,0.38517,1.04238,0.98483,0.96925,0.97421,0.66236,1.13593,0.5318,1.51025,0.000251,0.000251,0.000251
55,249.754,0.64345,0.38032,1.01338,0.98506,0.98411,0.98448,0.63522,1.22727,0.54524,1.57565,0.000218,0.000218,0.000218
56,253.8,0.62096,0.37037,1.02513,0.98483,0.96901,0.97575,0.65076,1.17708,0.5083,1.45358,0.000185,0.000185,0.000185
57,258.04,0.60741,0.37014,1.00436,1,0.98378,0.98848,0.67595,1.10439,0.50084,1.40615,0.000152,0.000152,0.000152
58,261.69,0.61726,0.3537,1.0066,0.98484,0.9696,0.97861,0.69367,1.06702,0.50432,1.40112,0.000119,0.000119,0.000119
59,265.229,0.58649,0.34975,0.98022,0.98485,0.9701,0.98627,0.71194,1.02181,0.48904,1.36535,8.6e-05,8.6e-05,8.6e-05
60,268.901,0.59825,0.34728,0.99778,0.98451,0.97015,0.98659,0.71615,0.99764,0.48012,1.34561,5.3e-05,5.3e-05,5.3e-05
